boat names,imo,time first in port,number of times visited port,number of times out of port,average time spend in port per visit,percentage of time in port
SEVEN PEGASUS,9392509,07-10-21 20:38:35,1,1,6,1
KAMARINA,9499644,07-10-21 20:38:35,1,1,40,9
TEAL,0,07-10-21 20:38:35,1,0,427,100
FORTH TIGER,0,07-10-21 20:38:35,27,26,15,97
ROWAN GORILLA VII,8765096,07-10-21 20:38:35,1,1,370,86
COLLIE T,6409064,07-10-21 20:38:35,1,0,427,100
TAYBIRD,0,07-10-21 20:38:35,1,0,427,100
PV TAYBIRD,0,07-10-21 20:38:35,1,0,427,100
CHERRY SAND,6811059,07-10-21 22:11:35,21,23,19,95
CRAIGLEITH,9803819,08-10-21 16:07:26,7,9,27,46
INCHCOLM,9892092,08-10-21 17:35:59,6,8,36,51
TERRA NOVA,0,09-10-21 11:07:08,42,44,3,39
IEVOLI BLUE,9421714,09-10-21 17:06:50,1,3,95,22
PETEREL,9803974,10-10-21 03:55:50,1,3,299,70
PIER PRESSURE,0,10-10-21 07:05:55,5,7,40,47
LAMMY,9467184,11-10-21 07:08:51,1,3,33,7
SKANDI ACERGY,9387217,13-10-21 08:22:36,1,3,12,2
DSV SOPHIE,0,13-10-21 08:46:12,3,5,0,0
THUN GRACE,9190195,13-10-21 10:38:55,1,3,8,2
BITONIA,9503902,13-10-21 23:10:37,1,3,14,3
CORRINGHAM,9316414,14-10-21 19:32:36,3,5,4,3
RIB ROY,0,15-10-21 06:36:13,27,29,0,0
NOBLE HANS DEUL,9424015,15-10-21 11:45:25,1,2,244,57
KITTIWAKE,9788289,15-10-21 11:45:25,1,3,1,0
VALARIS 249,0,15-10-21 15:48:28,1,3,167,39
BADGER,0,17-10-21 15:02:59,1,3,0,0
FORTH TROJAN,9126948,17-10-21 16:31:28,6,8,9,13
EQUINOX,0,17-10-21 18:16:29,1,2,189,44
FORTH KING,0,18-10-21 12:03:47,1,3,1,0
DMS CONDOR,9251987,18-10-21 15:17:05,3,5,36,25
CEMCLIPPER,9884667,18-10-21 23:10:59,1,3,23,5
ERACLEA,9499656,19-10-21 17:38:27,1,2,142,33
FEED HELGELAND,9163635,20-10-21 02:33:51,1,3,57,13
MAERSK HANDLER,9246724,22-10-21 14:13:11,1,3,1,0
ALIZEE,9574303,25-10-21 07:40:35,1,2,8,1
